# Missing entries are shown as -999 value.
Query,Refcode,ANG1,ANG2,ANG3,ANG4,R-factor,Study Temp.
2,BUSICO,84.322,95.020,85.296,95.433,4.500,295
2,BUTDEZ01,114.070,104.507,104.507,114.070,3.610,200
2,CACDER,109.468,95.117,121.012,95.104,3.670,296
2,CADZAJ,100.815,93.384,123.138,107.838,3.300,176
2,CAFYAK,115.330,103.047,103.029,115.323,4.790,130
2,CAHNEG,114.867,110.997,109.491,102.495,4.460,293
2,CAKJOP,110.702,108.698,99.106,105.303,4.340,223
2,CANVUK,114.142,115.675,107.628,93.932,3.750,173
2,CARLEN,123.912,91.707,90.755,124.100,4.510,213
2,CARNEP,115.421,107.809,109.219,108.235,4.990,213
2,CAVNUJ01,86.177,94.505,85.384,94.615,4.250,296
2,CBTYCO,114.718,110.761,82.755,111.513,4.400,295
2,CELQES,97.327,105.250,97.327,102.955,4.230,150
2,CETBUB,112.825,99.220,114.692,104.796,4.790,177
2,CEVDUC,113.804,114.062,81.638,115.868,4.700,295
2,CEVDUC01,113.137,115.646,81.763,112.360,4.870,91
2,CEVREA10,104.182,104.589,112.913,116.167,2.700,295
2,CEVREA10,101.973,114.209,115.963,104.451,2.700,295
2,CEWLOH,116.775,95.690,117.838,110.055,3.720,120
2,CEYBAL,122.162,111.966,120.251,107.894,4.680,293
2,CEZQAC,130.337,106.883,120.111,113.063,4.410,150
2,CIBDIA01,112.113,112.082,98.794,113.654,3.670,293
2,CINYAA,106.416,114.592,109.400,111.453,3.350,293
2,CIXXEN,107.225,91.704,92.998,133.600,4.280,200
2,CLTPOC01,109.753,100.245,109.753,111.542,4.900,295
2,CLTPOC03,112.819,97.847,112.819,112.766,2.730,190
2,CMACCO,112.259,113.858,91.768,109.978,4.100,295
2,CODLEO,99.958,118.269,116.382,100.222,2.740,200
2,CODYEC,91.020,110.014,91.020,129.656,3.500,200
2,COIMAC01,105.082,111.376,108.644,119.530,3.400,295
2,COLSEC,93.010,86.990,93.010,86.990,2.670,296
2,COMCUD,92.640,87.360,92.640,87.360,2.450,293
2,COPPAZ,114.232,108.275,82.609,105.469,3.380,120
2,COPTCY01,91.287,88.713,91.287,88.713,2.600,4
2,COPTCY05,90.845,89.155,90.845,89.155,2.500,115
2,COPTCY06,90.977,89.023,90.977,89.023,3.000,115
2,COPTCY10,90.686,89.314,90.686,89.314,3.900,295
2,COPTCY11,89.120,90.880,89.120,90.880,4.140,298
2,COPTCY12,90.805,89.195,90.805,89.195,3.330,103
2,COSALP10,84.367,94.690,86.212,94.730,4.100,295
2,COSALP11,85.744,94.378,85.837,94.048,4.600,295
