# Missing entries are shown as -999 value.
Query,Refcode,ANG1,ANG2,ANG3,ANG4,R-factor,Study Temp.
1,CILKAJ,89.048,77.383,94.401,99.891,3.200,295
1,CILKAJ,90.887,87.830,91.916,89.373,3.200,295
1,CIPNEX,83.942,94.659,87.229,95.524,3.550,130
1,CIPNEX,84.884,94.605,88.037,94.432,3.550,130
1,CIPNEX,94.676,87.605,94.108,84.600,3.550,130
1,CIPNEX,95.781,87.807,92.946,84.318,3.550,130
1,CIPNIB,84.444,93.593,89.977,92.745,2.470,208
1,CIPNIB,91.724,90.068,94.226,84.492,2.470,208
1,CIPSEZ,83.771,91.421,87.898,98.305,3.800,140
1,CIPSEZ10,83.771,91.421,87.898,98.305,3.540,140
1,CIYCES,91.323,87.793,91.909,89.930,4.600,140
1,COPMOJ,87.320,90.524,88.001,93.725,3.900,295
1,COPMOJ,87.112,93.432,85.113,93.747,3.900,295
1,COPMOJ10,87.341,90.540,87.945,93.776,3.700,295
1,COPMOJ10,87.157,93.579,84.403,94.474,3.700,295
1,CORCER,87.619,90.435,90.487,91.471,2.400,295
1,CORCER,87.819,89.982,89.602,92.623,2.400,295
1,CORCER,87.003,92.897,89.666,90.478,2.400,295
1,CORCER,88.080,91.303,90.817,89.804,2.400,295
1,COTPRH,89.100,91.825,88.711,90.422,4.000,173
1,COTTUC,89.293,83.710,88.912,98.217,3.450,100
1,CTPRHC02,89.121,87.534,91.424,92.068,3.700,295
1,CUJLEZ,92.093,87.907,92.093,87.907,3.900,150
1,CUJREE,90.541,88.303,94.153,87.004,4.800,295
1,CULYUD,88.378,90.809,92.989,87.884,4.300,295
1,CUMWIQ,95.069,93.903,88.759,82.807,4.600,295
1,CUQBAR,92.788,93.687,86.891,86.137,3.290,148
1,CUQBAR01,93.726,92.281,86.517,87.143,3.060,296
1,DABDAL,89.635,91.595,90.058,88.756,4.500,295
1,DABDAL,90.074,89.964,91.460,88.559,4.500,295
1,DACBUF,88.016,80.312,98.152,93.508,4.680,110
1,DACBUF,89.007,98.304,80.318,91.936,4.680,110
1,DACCOA,92.081,89.358,89.222,88.726,3.400,296
1,DACCUG,89.230,93.014,88.031,89.855,3.800,296
1,DACDER,89.090,88.480,90.667,91.785,3.100,296
1,DADYAJ,89.762,87.361,90.811,91.881,3.030,100
1,DADYEN,89.305,88.446,90.715,91.151,4.630,100
1,DAKREO,89.968,88.499,92.271,88.905,3.920,100
1,DAKRIS,86.462,93.538,93.538,86.462,2.370,100
1,DAKRIS,86.542,93.458,93.458,86.542,2.370,100
1,DAKROY,86.728,94.853,91.872,86.638,2.780,100
1,DAKRUE,84.896,97.920,92.065,85.826,2.540,100
1,DAKRUE,85.566,93.811,96.023,84.777,2.540,100
1,DAKSAL,87.240,91.693,93.873,87.273,3.820,101
1,DAMNEK,87.774,86.576,96.959,88.674,3.400,140
1,DAMNEK,89.177,87.701,92.899,90.319,3.400,140
1,DAMNEK10,87.774,86.576,96.959,88.674,3.400,130
1,DAMNEK10,89.177,87.701,92.899,90.319,3.400,130
1,DAQKAH,92.677,91.194,88.905,87.079,3.690,295
1,DASLAK10,77.850,94.719,92.725,94.719,3.330,295
1,DATJIR,88.645,91.834,89.711,89.965,3.500,295
1,DATJIR,88.758,91.545,89.206,90.717,3.500,295
1,DATJIR,89.455,92.191,90.175,88.241,3.500,295
1,DATJIR,90.178,91.470,89.227,89.112,3.500,295
1,DATMAM,95.097,84.431,91.565,88.900,3.900,295
1,DAXKIW,91.051,78.874,96.940,93.355,4.100,295
1,DEDYIW,89.641,91.199,91.871,87.333,1.580,180
1,DEDZAP,88.245,89.831,93.592,88.326,2.090,180
1,DEDZET,89.443,91.447,91.309,87.997,2.680,193
1,DEDZIX,92.245,89.418,90.668,87.671,2.110,180
1,DEDZOD,93.643,90.951,89.661,85.745,2.100,180
1,DEDZUJ,87.533,91.317,90.465,90.743,2.380,180
1,DEDZUJ,87.763,90.923,91.121,90.246,2.380,180
1,DEFJOO,92.410,87.599,85.358,94.609,3.380,150
1,DEFZUJ,87.286,79.376,96.972,96.347,4.010,295
1,DIMROJ,97.139,84.699,95.636,83.017,3.680,200
1,DIMROJ,83.675,94.610,85.049,96.589,3.680,200
1,DIYSEJ,89.733,80.716,101.479,88.118,3.400,295
1,DIYSEJ,93.987,97.675,80.650,87.821,3.400,295
1,DOBZEZ,87.254,96.236,86.194,90.291,4.200,295
1,DOBZEZ,88.851,95.012,85.775,90.429,4.200,295
1,DODDOS,94.326,86.544,90.519,87.614,4.050,100
1,DOGNEU,82.045,82.679,96.726,98.689,4.550,100
1,DOGNIY,96.713,83.287,83.287,96.713,1.830,100
1,DOHWAZ,92.674,91.487,94.657,81.334,4.410,200
1,DOHWAZ,93.534,91.082,94.382,81.173,4.410,200
1,DOHWAZ,81.173,93.498,91.178,94.352,4.410,200
1,DOHWAZ,81.240,94.049,91.440,93.373,4.410,200
1,DOJBUZ,87.493,94.913,95.778,81.911,2.600,295
1,DOJNAR,78.696,98.008,87.879,95.416,3.900,295
1,DORROR,90.096,90.030,90.482,89.335,3.180,223
1,DORWEM,80.887,98.783,90.758,89.556,3.200,295
1,DOSRUY,102.805,109.869,69.210,78.224,3.500,295
1,DOWHIG,97.291,98.460,81.957,82.239,2.900,295
1,DOXGOO,85.905,95.348,84.414,94.295,2.840,100
1,DOXGOO,85.979,92.931,84.628,96.807,2.840,100
1,DOXGOO01,85.631,97.221,83.988,93.549,1.600,200
1,DOXGOO01,85.590,95.635,83.899,94.890,1.600,200
1,DOXGOO02,85.903,95.275,84.326,94.466,2.520,100
1,DOXGOO02,85.984,92.966,84.465,96.953,2.520,100
1,DPMCRI,86.199,91.583,87.496,95.330,3.700,295
