Date_Time,Rainfall,Solar_Energy,Relative_Humidity,Temperature,ObjectId
2016/06/03 07:00:00+00,0,263,,,105
2016/06/05 06:00:00+00,0,92.8,,,106
2016/06/05 11:00:00+00,0,731.8,,,107
2016/06/14 16:00:00+00,0,147.3,,,108
2016/06/16 18:00:00+00,0,53.9,,,109
2016/06/18 05:00:00+00,0,59.1,,,110
2016/06/19 13:00:00+00,0,213.8,,,111
2016/06/21 13:00:00+00,0,484.8,,,112
2016/06/24 22:00:00+00,0,0,,,113
2016/06/25 07:00:00+00,0,285,,,114
2016/06/28 06:00:00+00,0,279.8,,,115
2016/06/29 09:00:00+00,1,60.5,,,116
2016/07/01 00:00:00+00,0.6,0,,,117
2016/07/03 21:00:00+00,0,0,,,118
2016/07/05 18:00:00+00,0,154.9,,,119
2016/07/05 19:00:00+00,0,41.9,,,120
2016/10/25 19:00:00+00,0,0,,,121
2016/10/27 12:00:00+00,0,222.8,,,122
2016/10/30 23:00:00+00,0,0,,,123
2016/10/31 16:00:00+00,0,73.5,,,124
2016/11/04 15:00:00+00,0,123.3,,,125
2016/11/05 16:00:00+00,0,39.4,,,126
2016/11/06 19:00:00+00,0,0,,,127
2016/11/08 06:00:00+00,0,0,,,128
2016/11/08 07:00:00+00,0,0.2,,,129
2016/11/11 06:00:00+00,0,0,,,130
2016/11/12 15:00:00+00,0,53.6,,,131
2016/11/14 05:00:00+00,0,0,,,132
2016/11/14 06:00:00+00,0,0,,,133
2016/11/16 00:00:00+00,0.4,0,,,134
2016/11/16 06:00:00+00,0,0,,,135
2016/11/16 23:00:00+00,0,0,,,136
2016/11/18 05:00:00+00,3.3,0,,,137
2016/11/19 13:00:00+00,0,153.3,,,138
2015/09/11 03:00:00+00,0,0,96.7,12,139
2015/09/15 22:00:00+00,0,0,100,12.9,140
2015/09/16 22:00:00+00,0,0,90.4,12.8,141
2015/09/17 10:00:00+00,0,275.2,72.1,16.5,142
2015/09/21 22:00:00+00,0,0.2,98.2,12,143
2015/09/21 23:00:00+00,1.2,0.1,98.7,12.3,144
2015/09/22 00:00:00+00,1.2,0,100,12,145
2015/09/27 00:00:00+00,0,0,99.9,8.6,146
2015/10/01 17:00:00+00,0,11.2,60.8,17.8,147
2015/10/02 20:00:00+00,0,0,,,148
2015/10/09 12:00:00+00,0,425.8,,,149
2015/10/21 11:00:00+00,0,158.3,,,150
2016/09/15 07:00:00+00,0,171,,,151
2016/09/15 20:00:00+00,0,0,,,152
2016/02/29 09:00:00+00,0,199.2,,,153
2017/05/28 16:00:00+00,0,34.8,,,154
2016/03/02 02:00:00+00,0,0.1,,,155
2017/06/03 03:00:00+00,0,1.1,,,156
2017/06/04 18:00:00+00,0,88.9,,,157
2016/03/08 21:00:00+00,0,0,,,158
2017/06/08 02:00:00+00,0,0.7,,,159
2016/03/14 17:00:00+00,0,168.3,,,160
2017/06/08 14:00:00+00,0,407.3,,,161
2016/03/15 07:00:00+00,0,19.5,,,162
2017/06/09 02:00:00+00,0,0,,,163
2016/03/20 23:00:00+00,0,0,,,164
2017/06/22 11:00:00+00,0,726.4,,,165
2016/03/31 01:00:00+00,0,0,,,166
2017/06/25 22:00:00+00,0,0,,,167
2016/04/06 01:00:00+00,0,0,,,168
2017/07/02 18:00:00+00,0,160.9,,,169
2016/04/10 15:00:00+00,0,227.8,,,170
2017/07/05 17:00:00+00,0,281.8,,,171
2016/04/15 17:00:00+00,0.2,23.7,,,172
2017/07/17 18:00:00+00,0,62.2,,,173
2016/04/16 06:00:00+00,0.4,24.3,,,174
2017/07/18 07:00:00+00,0,309.8,,,175
2017/08/03 13:00:00+00,0,337.9,,,176
2016/05/04 22:00:00+00,0,0,,,177
2017/08/04 17:00:00+00,0,198.7,,,178
2016/05/15 20:00:00+00,0,0,,,179
2016/09/18 22:00:00+00,0,0,,,180
2017/03/11 20:00:00+00,0,0,,,181
2016/09/21 22:00:00+00,0,0,,,182
2017/03/11 23:00:00+00,0,0,,,183
2016/10/01 03:00:00+00,0,0,,,184
2017/03/12 00:00:00+00,0,0,,,185
2016/10/07 14:00:00+00,0,126.7,,,186
2017/03/16 06:00:00+00,0,0,,,187
2016/10/08 22:00:00+00,0,0,,,188
2017/03/18 12:00:00+00,0,177.2,,,189
2016/10/11 18:00:00+00,0,0,,,190
2017/03/19 04:00:00+00,0,0,,,191
2016/10/11 23:00:00+00,0,0,,,192
2017/03/25 18:00:00+00,0,68.4,,,193
2017/03/28 17:00:00+00,0,30.3,,,194
2017/03/29 11:00:00+00,0,80.2,,,195
2017/04/22 00:00:00+00,0,0,,,196
2016/10/17 01:00:00+00,0,0,,,197
2016/10/22 03:00:00+00,0,0,,,198
2016/10/23 06:00:00+00,0,1.2,,,199
2016/10/25 07:00:00+00,0,11.9,,,200
2015/10/30 14:00:00+00,0,71.7,,,201
2015/11/05 01:00:00+00,0,0,,,202
2015/11/06 08:00:00+00,0,4.9,,,203
2015/11/07 07:00:00+00,0.6,0.1,,,204
2015/11/10 18:00:00+00,0,0,,,205
2015/11/13 13:00:00+00,0,133.9,,,206
2015/11/13 14:00:00+00,0.4,118.4,,,207
2015/11/15 15:00:00+00,0,32.9,,,208
2015/11/19 19:00:00+00,0,0,,,209
2015/11/20 18:00:00+00,0,0,,,210
2015/11/21 00:00:00+00,0,0,,,211
2015/11/23 00:00:00+00,0,0,,,212
2015/11/23 07:00:00+00,0,0,,,213
2015/11/23 14:00:00+00,0,144.9,,,214
2015/11/23 21:00:00+00,0.4,0,,,215
2015/11/24 15:00:00+00,0,46,,,216
2015/11/25 23:00:00+00,0,0,,,217
2015/11/28 05:00:00+00,0,0,,,218
2015/11/28 20:00:00+00,0.2,0,,,219
2016/05/18 02:00:00+00,0.6,0,,,220
2016/05/24 23:00:00+00,0,0,,,221
2016/05/25 13:00:00+00,0,325.3,,,222
2016/05/25 21:00:00+00,0,0,,,223
2016/05/25 22:00:00+00,0,0,,,224
2016/05/26 11:00:00+00,0,595,,,225
2016/05/29 10:00:00+00,0,715.3,,,226
2016/05/30 00:00:00+00,0,0,,,227
2016/05/30 11:00:00+00,0,697.7,,,228
2016/05/30 18:00:00+00,0,124.1,,,229
2016/06/03 19:00:00+00,0,27.7,,,230
2016/06/05 22:00:00+00,0,0,,,231
2016/06/08 09:00:00+00,0,253.8,,,232
2016/07/02 16:00:00+00,0,425.3,,,233
2016/07/19 17:00:00+00,0,148,,,234
2016/06/25 08:00:00+00,0,483.8,,,235
2016/07/21 11:00:00+00,0,588.8,,,236
2016/07/24 08:00:00+00,0,247.8,,,237
2016/07/01 11:00:00+00,0,377.6,,,238
2016/07/27 11:00:00+00,0,667,,,239
2016/08/02 06:00:00+00,0.2,50.2,,,240
2016/07/12 21:00:00+00,0,0,,,241
2016/08/14 21:00:00+00,0,0,,,242
2016/07/18 19:00:00+00,0,33.7,,,243
2016/07/27 14:00:00+00,0,606.2,,,244
2016/07/27 22:00:00+00,0,0,,,245
2016/08/01 09:00:00+00,0,185.3,,,246
2016/08/30 14:00:00+00,0,480.3,,,247
2016/09/04 01:00:00+00,0,0,,,248
2016/09/05 08:00:00+00,0,154.5,,,249
2016/02/23 04:00:00+00,0,0,,,250
2015/04/07 15:00:00+00,0,386.1,45.3,19.3,251
2015/04/18 13:00:00+00,0,632.8,40.6,16.6,252
2015/04/25 07:00:00+00,0,181.8,83.9,13.5,253
2015/04/30 15:00:00+00,0,296.9,58.9,14.1,254
2015/05/02 22:00:00+00,0,0,96.2,11.2,255
2015/05/03 01:00:00+00,0.6,0,100,11.2,256
2014/11/23 02:00:00+00,0,0,100,10.4,257
2014/11/26 13:00:00+00,0.2,41.1,100,8.5,258
2014/11/30 00:00:00+00,0,0.1,100,7.7,259
2014/11/30 15:00:00+00,0,86.5,82,13.2,260
2014/12/05 14:00:00+00,0,183.3,54.3,11.6,261
2014/12/08 15:00:00+00,0,35.9,69.5,7.9,262
2014/12/09 22:00:00+00,0,0,100,11.6,263
2014/12/11 01:00:00+00,0,0,86,7.5,264
2014/12/14 07:00:00+00,0,0,86.6,6.1,265
2014/12/14 13:00:00+00,0,84.5,81.9,9.8,266
2014/12/15 17:00:00+00,0,0,92.6,8.4,267
2014/12/18 16:00:00+00,0,3.7,92.6,13.3,268
2014/12/21 05:00:00+00,0,0,100,8.1,269
2014/12/21 23:00:00+00,0,0,96.2,12.6,270
2014/12/24 18:00:00+00,0,0,74.2,7.4,271
2014/12/24 20:00:00+00,0,0,79.4,6.8,272
2014/12/26 19:00:00+00,0,0.1,100,10.2,273
